Sample Name,Replicate,Wavelength,Average Absorbance,Average Percent GpA,Standard Deviation,Absorbance-SD
1G2,2.0,512.0,4230.333333333333,19.254707548390165,2.7353399723465053,537.5922866510147
2F12,2.0,512.0,8050.333333333333,38.595225817905295,11.828846984170646,1996.8197381503087
2H11,2.0,512.0,30078.333333333332,134.16217924718654,17.59904724364686,3512.4073605814383
G83I,2.0,512.0,3633.5,15.917895995975885,6.4570525881049425,1465.6308880478741
Gpa,2.0,512.0,22114.333333333332,100.0,13.579779154908769,3757.8153050232077
L4,2.0,512.0,11859.666666666666,61.71750591400555,5.802285514874813,1125.098336442938
L8,2.0,512.0,13451.833333333334,69.08372101762463,12.127914757062364,2401.2073976786482
LC2,2.0,512.0,9868.0,50.5038619668072,7.807915834536929,1783.8032402706303
LC3,2.0,512.0,12228.166666666666,54.4224290275711,8.070216832117648,1895.161884026445
LC4,2.0,512.0,10087.833333333334,51.834992930829,7.524842382798963,1426.8479129419038
LC9,2.0,512.0,10798.833333333334,56.12776824071395,11.309714353116929,2187.589944817508
LD21,2.0,512.0,16157.166666666666,82.90613808867529,3.6796092235134883,1169.6357410179744
LD23,2.0,512.0,11006.333333333334,59.443299919502216,14.49834123242505,2609.283707584644
LD50,2.0,512.0,11493.166666666666,51.174554059536156,4.462253100677271,1040.01065699668
LD8,2.0,512.0,12868.166666666666,57.84430126859138,17.04630193487591,3545.307964996365
LD9,2.0,512.0,10278.666666666666,52.58960978983939,12.219397293209758,2543.0928938335437
LWT11,2.0,512.0,11863.333333333334,50.65507360026374,6.962535607701311,1620.4094132862433
LWT12,2.0,512.0,11335.333333333334,50.731247598997605,4.861146267477723,1003.320022060094
LWT3,2.0,512.0,14541.833333333334,74.73231781428392,4.760963527980623,873.0744336347658
M17,2.0,512.0,7616.166666666667,34.07803844257682,12.956238892205299,2862.120990920312
M18,2.0,512.0,10139.166666666666,45.4013037839959,4.655719354064105,891.4714614987212
M27,2.0,512.0,14777.666666666666,73.38404287081035,10.711171249876394,2610.8338642408225
M37,2.0,512.0,11678.0,52.28294494498385,4.784532267154114,911.20974533858
M39,2.0,512.0,14636.0,65.55124976979015,6.182946517263224,1111.24452754558
M40,2.0,512.0,9191.0,41.4647057954701,20.94636241040172,4486.922597950626
NoTM,2.0,512.0,0.0,0.0,0.0,0.0
RC1,2.0,512.0,8037.666666666667,37.8575881533014,8.029110474320982,2073.4868860609336
RC11,2.0,512.0,10911.666666666666,52.185627726690086,9.200630480837246,1473.934824429719
RC2,2.0,512.0,9075.166666666666,44.66346204088999,12.57845273126304,2759.417215041369
RC6,2.0,512.0,12308.833333333334,61.28091127663529,13.36206045988346,2804.1530925872553
RC7,2.0,512.0,11820.166666666666,53.06747992684092,12.438972276300047,2544.2431815112855
RC8,2.0,512.0,13685.833333333334,65.07804215720931,7.8502152163994285,976.9858579665661
RD17,2.0,512.0,8565.333333333334,40.8594930684797,10.582223675799023,1924.115450451627
RD2,2.0,512.0,8547.666666666666,40.748400403240915,6.003565648816549,1107.4749056600185
RD3,2.0,512.0,15674.166666666666,77.7218672832342,14.462425447337909,3584.056440217797
RD36,2.0,512.0,12897.666666666666,57.62887939724313,6.213109069270103,1518.777885889397
RD39,2.0,512.0,10908.833333333334,47.25019071411604,4.890772485123055,1286.8955539074127
RD52,2.0,512.0,12424.666666666666,64.67308399441451,3.041380029952024,535.585536274708
RD53,2.0,512.0,11898.166666666666,58.96770277255035,10.809189632175421,2569.5757950810994
RWT3,2.0,512.0,15026.5,74.29841498916151,9.057465213297869,1285.7235706013948
RWT30,2.0,512.0,14393.833333333334,64.36214829099954,4.810345882890678,1138.561973133947
RWT33,2.0,512.0,9293.5,41.88909062278284,18.99334633485651,4045.679559727883
RWT34,2.0,512.0,12413.5,63.661789717250315,6.4408903294096,1483.6075963677188
RWT38,2.0,512.0,12244.666666666666,54.745160182735326,3.875901829513485,935.2389356023772
RWT39,2.0,512.0,12676.166666666666,62.74338677827034,8.511200925943543,2021.119532998152
RWT40,2.0,512.0,11574.333333333334,60.33177239141338,6.987443171856537,1156.5416839295792
YF3,2.0,512.0,10904.833333333334,48.94533027078583,13.066526098372227,2737.120342013969
YF6,2.0,512.0,11203.5,50.149214301479105,3.8724745863986763,723.9582170263693
YF7,2.0,512.0,10324.333333333334,51.19660186764264,9.900133256292383,2266.52550540837
YF9,2.0,512.0,12219.166666666666,57.385064572805014,10.09574313513718,2980.3965787570396
