Sample Name,Replicate,Wavelength,Absorbance,Percent GpA,Percent StDev
1G2,2.0,512.0,4347.952380952381,20.53221918559105,6.264376680842823
2F12,2.0,512.0,7577.142857142857,35.94375043541429,7.240815954419495
2H11,2.0,512.0,24787.944444444445,118.1990608226866,40.76195258891829
G2,2.0,512.0,-2422.3333333333335,-12.89755785886696,8.026180642855964
G3,2.0,512.0,485.3333333333333,2.584126082635241,12.099224720540544
G83I,2.0,512.0,3385.5238095238096,16.035106146875982,7.071195318730787
Gpa,2.0,512.0,21163.714285714286,100.0,16.749556877855824
L4,2.0,512.0,11113.444444444445,58.2204689433803,9.276400768870364
L8,2.0,512.0,12977.75,64.26943680144923,15.139828122399843
LC2,2.0,512.0,9868.0,50.5038619668072,9.129403386965071
LC3,2.0,512.0,12286.222222222223,53.46198385784842,6.74127433469976
LC4,2.0,512.0,9857.444444444445,51.666708871467655,14.137735290617645
LC9,2.0,512.0,9485.666666666666,49.59253838036332,16.817503313347277
LD21,2.0,512.0,16157.166666666666,82.90613808867529,6.001669986999757
LD23,2.0,512.0,10816.777777777777,56.882063741233736,10.970010874169885
LD50,2.0,512.0,10766.444444444445,47.017226844384005,7.800487700877244
LD8,2.0,512.0,12868.166666666666,57.84430126859138,15.936680595566814
LD9,2.0,512.0,10316.0,53.979725050203506,19.397788303121267
LWT11,2.0,512.0,13730.666666666666,60.10578496559296,31.888903364083646
LWT12,2.0,512.0,11335.333333333334,50.731247598997605,4.490355507277748
LWT3,2.0,512.0,14541.833333333334,74.73231781428392,4.486839764581672
M17,2.0,512.0,7616.166666666667,34.07803844257682,12.806372736401311
M18,2.0,512.0,10139.166666666666,45.4013037839959,3.9918435083356205
M27,2.0,512.0,15283.222222222223,72.73855267264076,11.189584580012943
M37,2.0,512.0,11678.0,52.28294494498385,4.079528082622858
M39,2.0,512.0,14636.0,65.55124976979015,4.977006530503741
M40,2.0,512.0,9191.0,41.4647057954701,20.24251174530183
NoTM,2.0,512.0,0.0,0.0,
RC1,2.0,512.0,7802.555555555556,37.35855233053181,8.054896245105509
RC11,2.0,512.0,9354.333333333334,44.828915281967234,10.058734270939063
RC2,2.0,512.0,9261.111111111111,43.11977966421299,10.277468594598316
RC6,2.0,512.0,9796.777777777777,47.82968797416696,21.714037991749926
RC7,2.0,512.0,11820.166666666666,53.06747992684092,11.422560930938822
RC8,2.0,512.0,12198.444444444445,59.755634522525924,12.135413215720607
RD17,2.0,512.0,7059.666666666667,34.424692099134134,21.069235962733554
RD2,2.0,512.0,7438.0,35.91489727334575,8.45194927271772
RD3,2.0,512.0,15335.222222222223,73.2377904039319,14.477882255998873
RD36,2.0,512.0,12897.666666666666,57.62887939724313,6.786147438848367
RD39,2.0,512.0,9967.666666666666,46.22241511836873,12.574342200613847
RD52,2.0,512.0,11150.666666666666,55.032255703526296,19.398309512770442
RD53,2.0,512.0,11385.222222222223,54.45304148316087,11.264231785474477
RWT3,2.0,512.0,14338.666666666666,69.42501165150394,12.45954720220635
RWT30,2.0,512.0,14393.833333333334,64.36214829099954,5.091089555944569
RWT33,2.0,512.0,9293.5,41.88909062278284,18.23530830238139
RWT34,2.0,512.0,12164.333333333334,60.03219407972301,6.375098382460349
RWT38,2.0,512.0,12244.666666666666,54.745160182735326,4.181396417924787
RWT39,2.0,512.0,12864.444444444445,60.171054206195386,7.592001403444931
RWT40,2.0,512.0,11611.777777777777,56.410166989095664,4.755967262436158
YF3,2.0,512.0,10904.833333333334,48.94533027078583,12.285310103846305
YF6,2.0,512.0,11203.5,50.149214301479105,3.2405887241462143
YF7,2.0,512.0,7671.111111111111,37.58727339374993,22.736604697098347
YF9,2.0,512.0,12172.777777777777,56.47197555554835,11.071570074133014
